Timestamp,Value
1777268947.469022,203
1777268947.4712372,219
1777268947.4713848,225
1777268947.4714553,227
1777268947.4715319,230
1777268947.4715946,228
1777268947.4716578,222
1777268947.4740107,216
1777268947.4741213,205
1777268947.4741902,189
1777268947.4742494,167
1777268947.4743085,142
1777268947.474422,109
1777268947.474474,80
1777268947.4766822,55
1777268947.4767816,33
1777268947.4768755,12
1777268947.4769351,-12
1777268947.4770055,-35
1777268947.4770646,-69
1777268947.4771395,-101
1777268947.479289,-155
1777268947.4793966,-167
1777268947.4794707,-192
1777268947.4795454,-214
1777268947.4796178,-224
1777268947.4820182,-232
1777268947.4821303,-232
1777268947.4822028,-228
1777268947.4822764,-219
1777268947.4823458,-211
1777268947.4848735,-192
1777268947.4850018,-171
1777268947.485073,-137
1777268947.4851322,-92
1777268947.4851909,-66
1777268947.4852488,-38
1777268947.4873683,-9
1777268947.487477,21
1777268947.4875321,32
1777268947.4876142,60
1777268947.487669,85
1777268947.4877326,113
1777268947.4877927,159
1777268947.4878519,164
1777268947.490288,181
1777268947.490476,202
1777268947.4906383,218
1777268947.4907339,225
1777268947.4908674,228
1777268947.4909303,229
1777268947.4929006,228
1777268947.493004,223
1777268947.4930763,217
1777268947.4931371,206
1777268947.493196,190
1777268947.4932604,171
1777268947.495548,144
1777268947.495667,117
1777268947.4957197,81
1777268947.4957697,58
1777268947.4958208,35
1777268947.495873,14
1777268947.4959233,-9
1777268947.4959822,-29
1777268947.4983537,-59
1777268947.4984944,-91
1777268947.4985707,-135
1777268947.4986432,-160
1777268947.4987144,-181
1777268947.5009804,-206
1777268947.5011396,-214
1777268947.5012143,-229
1777268947.5012853,-230
1777268947.5013561,-229
1777268947.501434,-223
1777268947.5037656,-215
1777268947.503873,-199
1777268947.5039463,-179
1777268947.5040216,-150
1777268947.5040987,-109
1777268947.5064967,-74
1777268947.5066023,-46
1777268947.5066655,-17
1777268947.506708,9
1777268947.5067587,28
1777268947.5068133,48
1777268947.5068667,77
1777268947.506939,104
1777268947.5092545,150
1777268947.5093799,161
1777268947.5094442,176
1777268947.5095475,195
1777268947.5096183,213
1777268947.5096817,221
1777268947.511952,230
1777268947.5120573,228
1777268947.5121229,230
1777268947.5121846,226
1777268947.5122473,218
1777268947.512308,207
1777268947.5146158,194
1777268947.5148475,186
1777268947.514933,153
1777268947.514996,120
1777268947.5150466,89
1777268947.5150976,65
1777268947.5151765,43
1777268947.5152268,20
1777268947.5173817,-2
1777268947.5174873,-22
1777268947.5175498,-50
1777268947.5176105,-83
1777268947.5176888,-121
1777268947.5177572,-161
1777268947.5200732,-175
1777268947.5201664,-200
1777268947.5202372,-220
1777268947.5203073,-227
1777268947.5203776,-229
1777268947.5228443,-233
1777268947.5229647,-226
1777268947.523056,-216
1777268947.523131,-204
1777268947.5232062,-183
1777268947.525472,-160
1777268947.5257857,-114
1777268947.52588,-82
1777268947.5259519,-53
1777268947.5260243,-24
1777268947.5260694,3
1777268947.5261235,20
1777268947.5281765,40
1777268947.528404,77
1777268947.5286217,94
1777268947.5287714,127
1777268947.5289207,166
1777268947.5290668,167
1777268947.5292094,188
1777268947.5309355,206
1777268947.531139,222
1777268947.531279,226
1777268947.5314133,229
1777268947.5315971,231
1777268947.5317347,227
1777268947.5318644,220
1777268947.5341725,215
1777268947.5343087,202
1777268947.534375,184
1777268947.5344367,165
1777268947.5344992,136
1777268947.5345595,102
1777268947.5364544,74
1777268947.5366716,50
1777268947.536829,29
1777268947.5370185,6
1777268947.5372386,-10
1777268947.5373046,-34
1777268947.5375233,-68
1777268947.539146,-101
1777268947.5393262,-155
1777268947.5394056,-168
1777268947.5394764,-191
1777268947.5396106,-214
1777268947.5396793,-223
1777268947.541865,-232
1777268947.5419683,-231
1777268947.5420399,-228
1777268947.5421083,-219
1777268947.542177,-212
1777268947.5446022,-193
1777268947.5447426,-169
1777268947.5448208,-136
1777268947.5449173,-94
1777268947.5449831,-65
1777268947.5450428,-39
1777268947.5472507,-10
1777268947.5473394,17
1777268947.5473926,37
1777268947.5474434,65
1777268947.547496,93
1777268947.5475569,125
1777268947.547615,165
1777268947.5500262,167
1777268947.5501282,186
1777268947.5501897,206
1777268947.550249,220
1777268947.550309,226
1777268947.5503697,230
